date,Bitcoin
2013-01-01,43
2013-02-01,58
2013-03-01,65
2013-04-01,64
2013-05-01,84
2013-06-01,83
2013-07-01,63
2013-08-01,68
2013-09-01,72
2013-10-01,75
2013-11-01,66
2013-12-01,74
2013-01-13,72
2013-01-14,61
2013-01-15,53
2013-01-16,57
2013-01-17,72
2013-01-18,63
2013-01-19,64
2013-01-20,67
2013-01-21,65
2013-01-22,66
2013-01-23,81
2013-01-24,100
2013-01-25,69
2013-01-26,67
2013-01-27,65
2013-01-28,79
2013-01-29,95
2013-01-30,93
2013-01-31,98
2013-01-02,72
2013-02-02,83
2013-03-02,68
2013-04-02,59
2013-05-02,54
2013-06-02,68
2013-07-02,52
2013-08-02,59
2013-09-02,56
2013-10-02,60
2013-11-02,63
2013-12-02,80
2013-02-13,63
2013-02-14,80
2013-02-15,83
2013-02-16,74
2013-02-17,85
2013-02-18,93
2013-02-19,79
2013-02-20,86
2013-02-21,75
2013-02-22,81
2013-02-23,87
2013-02-24,75
2013-02-25,82
2013-02-26,76
2013-02-27,77
2013-02-28,100
2013-01-03,24
2013-02-03,20
2013-03-03,22
2013-04-03,21
2013-05-03,28
2013-06-03,35
2013-07-03,33
2013-08-03,30
2013-09-03,29
2013-10-03,31
2013-11-03,28
2013-12-03,43
2013-03-13,32
2013-03-14,26
2013-03-15,24
2013-03-16,24
2013-03-17,27
2013-03-18,31
2013-03-19,39
2013-03-20,47
2013-03-21,61
2013-03-22,64
2013-03-23,66
2013-03-24,51
2013-03-25,55
2013-03-26,58
2013-03-27,72
2013-03-28,88
2013-03-29,100
2013-03-30,88
2013-03-31,83
2013-01-04,26
2013-02-04,30
2013-03-04,44
2013-04-04,44
2013-05-04,36
2013-06-04,30
2013-07-04,32
2013-08-04,43
2013-09-04,54
2013-10-04,82
2013-11-04,100
2013-12-04,86
2013-04-13,53
2013-04-14,46
2013-04-15,43
2013-04-16,39
2013-04-17,34
2013-04-18,32
2013-04-19,26
2013-04-20,21
2013-04-21,20
2013-04-22,21
2013-04-23,24
2013-04-24,22
2013-04-25,21
2013-04-26,20
2013-04-27,17
2013-04-28,18
2013-04-29,18
2013-04-30,16
2013-01-05,91
2013-02-05,93
2013-03-05,100
2013-04-05,75
2013-05-05,76
2013-06-05,76
2013-07-05,69
2013-08-05,61
2013-09-05,68
2013-10-05,62
2013-11-05,58
2013-12-05,59
2013-05-13,66
2013-05-14,64
2013-05-15,69
2013-05-16,68
2013-05-17,65
2013-05-18,63
2013-05-19,73
2013-05-20,68
2013-05-21,58
2013-05-22,53
2013-05-23,52
2013-05-24,52
2013-05-25,48
2013-05-26,44
2013-05-27,48
2013-05-28,59
2013-05-29,65
2013-05-30,59
2013-05-31,56
2013-01-06,87
2013-02-06,100
2013-03-06,94
2013-04-06,83
2013-05-06,82
2013-06-06,89
2013-07-06,83
2013-08-06,81
2013-09-06,97
2013-10-06,91
2013-11-06,92
2013-12-06,89
2013-06-13,77
2013-06-14,72
2013-06-15,68
2013-06-16,70
2013-06-17,71
2013-06-18,78
2013-06-19,72
2013-06-20,71
2013-06-21,74
2013-06-22,69
2013-06-23,75
2013-06-24,86
2013-06-25,78
2013-06-26,76
2013-06-27,79
2013-06-28,73
2013-06-29,72
2013-06-30,93
2013-01-07,63
2013-02-07,100
2013-03-07,72
2013-04-07,62
2013-05-07,61
2013-06-07,57
2013-07-07,51
2013-08-07,55
2013-09-07,52
2013-10-07,51
2013-11-07,48
2013-12-07,52
2013-07-13,50
2013-07-14,47
2013-07-15,50
2013-07-16,46
2013-07-17,44
2013-07-18,44
2013-07-19,43
2013-07-20,43
2013-07-21,40
2013-07-22,48
2013-07-23,49
2013-07-24,51
2013-07-25,49
2013-07-26,44
2013-07-27,40
2013-07-28,43
2013-07-29,45
2013-07-30,52
2013-07-31,56
2013-01-08,58
2013-02-08,60
2013-03-08,61
2013-04-08,69
2013-05-08,75
2013-06-08,64
2013-07-08,60
2013-08-08,72
2013-09-08,69
2013-10-08,59
2013-11-08,63
2013-12-08,78
2013-08-13,81
2013-08-14,100
2013-08-15,86
2013-08-16,78
2013-08-17,75
2013-08-18,82
2013-08-19,96
2013-08-20,90
